ValueAddedServiceID+BatchID;Activity_Description;ActivityOrder;StartTimeStamp;EndTimeStamp;BatchProductionStart;BatchProductionEnd;ProductionStepID;MachineID;ProductionStep_PerBatch_ID;NeedsToBeReported;IsReported
1663272373845;OrderCreation;-1;06.07.2013 14:07;;2013-07-06 16:12:03.000;2013-07-06 19:41:09.000;#WERT!;#WERT!;#WERT!;;0
1663272373845;Start production step;0;06.07.2013 14:07;;2013-07-06 16:12:03.000;2013-07-06 19:41:09.000;#WERT!;#WERT!;#WERT!;;0
1663272373845;start batching;1;2013-07-06 16:12:03.000;2013-07-06 16:18:41.000;2013-07-06 16:12:03.000;2013-07-06 19:41:09.000;9118313;2391;17775372;1;1
1663272373845;cleaning;2;2013-07-06 16:18:41.000;;2013-07-06 16:12:03.000;2013-07-06 19:41:09.000;9118314;2391;17775373;0;0
1663272373845;spray;3;2013-07-06 16:18:41.000;;2013-07-06 16:12:03.000;2013-07-06 19:41:09.000;9118315;2391;17775374;0;0
1663272373845;deep cleaning;4;2013-07-06 16:18:41.000;;2013-07-06 16:12:03.000;2013-07-06 19:41:09.000;9118316;2391;17775375;0;0
1663272373845;kiln;5;2013-07-06 16:18:41.000;;2013-07-06 16:12:03.000;2013-07-06 19:41:09.000;9118317;2391;17775376;0;0
1663272373845;end batching ;6;2013-07-06 16:18:41.000;2013-07-06 19:41:09.000;2013-07-06 16:12:03.000;2013-07-06 19:41:09.000;9118318;2391;17775377;1;1
1663272373853;OrderCreation;-1;06.07.2013 14:07;;2013-07-06 16:19:42.000;2013-07-06 21:42:52.000;#WERT!;#WERT!;#WERT!;;0
1663272373853;Start production step;0;06.07.2013 14:07;;2013-07-06 16:19:42.000;2013-07-06 21:42:52.000;#WERT!;#WERT!;#WERT!;;0
1663272373853;start batching;1;2013-07-06 16:19:42.000;2013-07-06 16:25:05.000;2013-07-06 16:19:42.000;2013-07-06 21:42:52.000;9118313;2391;17775465;1;1
